City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,27.83,72,100,4.72,TK,1735827556
1,minas de marcona,-15.2119,-75.1103,18.65,72,99,4.33,PE,1735827558
2,borba,-4.3878,-59.5939,27.03,81,100,1.72,BR,1735827559
3,stanley,54.868,-1.6985,1.4,74,20,5.14,GB,1735827560
4,port elizabeth,-33.918,25.5701,25.16,57,0,4.63,ZA,1735827302
5,port-aux-francais,-49.35,70.2167,5.22,99,100,8.18,TF,1735827563
6,klyuchi,52.2667,79.1667,-5.73,86,100,7.86,RU,1735827564
7,codrington,-38.2667,141.9667,10.42,81,7,3.73,AU,1735827566
8,nova prata,-28.7839,-51.61,28.74,46,16,2.11,BR,1735827567
9,hermanus,-34.4187,19.2345,26.0,67,5,5.5,ZA,1735827568
10,bethel,41.3712,-73.414,3.9,64,64,4.02,US,1735827570
11,aykhal,66.0,111.5,-31.06,92,20,1.46,RU,1735827571
12,macusani,-14.0833,-70.4333,3.44,96,100,2.29,PE,1735827572
13,nar'yan-mar,67.6713,53.087,-8.73,94,100,4.78,RU,1735827574
14,edinburgh of the seven seas,-37.0676,-12.3116,14.97,71,100,6.19,SH,1735827575
15,yaren,-0.5472,166.916,27.11,79,93,3.23,NR,1735827576
16,illizi,26.4833,8.4667,19.02,18,0,6.59,DZ,1735827313
17,grytviken,-54.2811,-36.5092,8.06,53,17,0.61,GS,1735827579
18,tiksi,71.6872,128.8694,-29.15,98,100,5.24,RU,1735827580
19,constantia,44.1833,28.65,10.39,56,1,3.21,RO,1735827581
20,ad dilam,23.9915,47.1627,15.99,26,0,4.64,SA,1735827583
21,talnakh,69.4865,88.3972,-13.12,95,100,4.47,RU,1735827584
22,ushuaia,-54.8,-68.3,10.81,71,75,9.26,AR,1735827585
23,albany,42.6001,-73.9662,1.99,64,86,2.24,US,1735827587
24,adamstown,-25.066,-130.1015,24.02,77,100,3.06,PN,1735827588
25,puerto natales,-51.7236,-72.4875,15.25,47,40,8.23,CL,1735827589
26,lamu,-2.2717,40.902,27.38,74,8,7.91,KE,1735827591
27,hamilton,39.1834,-84.5333,0.5,79,40,3.6,US,1735827592
28,ribeira brava,32.65,-17.0667,20.35,69,100,3.16,PT,1735827593
29,kone,-21.0595,164.8658,24.15,73,49,2.05,NC,1735827595
30,carnarvon,-24.8667,113.6333,25.45,83,0,8.82,AU,1735827596
31,st. john's,47.5649,-52.7093,6.1,96,100,12.35,CA,1735827597
32,jamestown,42.097,-79.2353,-2.77,95,100,5.66,US,1735827599
33,bardai,11.65,7.2333,32.4,10,86,5.58,NG,1735827600
34,djougou,9.7085,1.666,35.94,12,75,2.13,BJ,1735827601
35,xining,36.6167,101.7667,-10.52,71,4,0.57,CN,1735827603
36,bikenibeu village,1.3673,173.1241,27.98,83,75,3.6,KI,1735827604
37,murzuq,25.9155,13.9184,23.01,15,93,6.36,LY,1735827447
38,maintirano,-18.0667,44.0167,30.1,67,97,3.4,MG,1735827607
39,kargopol',61.5071,38.9456,-6.95,91,100,4.94,RU,1735827608
40,chernyshkovskiy,48.4219,42.2308,7.27,71,33,9.61,RU,1735827609
41,sibiti,-3.6819,13.3499,27.91,67,88,1.59,CG,1735827611
42,lukolela,-1.0605,17.1821,32.86,30,73,1.36,CD,1735827612
43,tommot,58.9564,126.2925,-40.49,100,100,0.3,RU,1735827357
44,vilyuchinsk,52.9306,158.4028,-3.85,68,100,4.26,RU,1735827616
45,kodiak,57.79,-152.4072,3.73,93,100,3.6,US,1735827617
46,olonkinbyen,70.9221,-8.7187,-10.12,74,100,14.63,SJ,1735827618
47,fort st. john,56.2499,-120.8529,-34.76,100,100,0.83,CA,1735827620
48,tura,25.5198,90.2201,14.86,75,0,1.68,IN,1735827621
49,waitangi,-43.9535,-176.5597,13.79,97,99,5.58,NZ,1735827622
50,zamora,-4.0692,-78.9567,21.06,97,100,0.19,EC,1735827624
51,tyumentsevo,53.3224,81.498,-4.56,91,100,8.87,RU,1735827625
52,laojunmiao,39.8333,97.7333,-4.26,47,99,1.53,CN,1735827626
53,ta`u,-14.2336,-169.5144,28.46,72,89,1.64,AS,1735827465
54,vrangel',42.7297,133.0839,-6.72,54,0,2.98,RU,1735827630
55,umm kaddadah,13.6017,26.6876,26.5,11,64,8.52,SD,1735827632
56,kindu,-2.95,25.95,27.9,64,100,0.76,CD,1735827634
57,port mathurin,-19.6833,63.4167,26.03,69,1,6.43,MU,1735827636
58,borrazopolis,-23.9411,-51.5875,30.37,51,27,2.0,BR,1735827637
59,port lincoln,-34.7333,135.8667,17.63,67,0,6.33,AU,1735827638
60,utrik,11.2278,169.8474,27.07,78,82,7.7,MH,1735827640
61,thompson,55.7435,-97.8558,-22.91,84,100,2.06,CA,1735827641
62,qaqortoq,60.7167,-46.0333,-1.65,97,100,4.29,GL,1735827642
63,misawa,40.6836,141.3597,-3.02,93,100,2.06,JP,1735827644
64,alice springs,-23.7,133.8833,24.75,18,0,0.0,AU,1735827645
65,margaret river,-33.95,115.0667,16.57,87,100,5.61,AU,1735827646
66,new norfolk,-42.7826,147.0587,11.51,88,25,1.06,AU,1735827647
67,geraldton,-28.7667,114.6,23.23,78,0,6.17,AU,1735827649
68,lompoc,34.6391,-120.4579,6.4,96,0,3.09,US,1735827650
69,saipan,15.1355,145.701,26.47,88,40,4.92,MP,1735827651
70,hinis,39.3606,41.7022,-11.1,77,3,2.11,TR,1735827653
71,bathsheba,13.2167,-59.5167,29.34,65,20,10.8,BB,1735827654
72,dakhla,23.6848,-15.958,23.01,23,0,5.14,EH,1735827655
73,holualoa,19.6228,-155.9522,19.35,81,30,2.54,US,1735827657
74,touros,-5.1989,-35.4608,30.74,59,19,6.34,BR,1735827658
75,khash,28.2211,61.2158,5.93,75,100,5.06,IR,1735827659
76,magangue,9.242,-74.7547,26.59,82,100,1.76,CO,1735827661
77,plouzane,48.3833,-4.6167,9.1,85,75,2.06,FR,1735827662
78,nemuro,43.3236,145.575,-4.64,74,85,3.72,JP,1735827663
79,oriximina,-1.7656,-55.8661,31.55,54,90,1.76,BR,1735827665
80,cidade velha,14.9167,-23.6167,27.26,50,20,8.23,CV,1735827666
81,karratha,-20.7377,116.8463,30.97,63,74,1.51,AU,1735827667
82,saint-philippe,-21.3585,55.7679,26.32,77,91,3.98,RE,1735827668
83,longyearbyen,78.2186,15.6401,-5.09,58,40,6.69,SJ,1735827670
84,blackmans bay,-43.0167,147.3167,11.07,86,49,0.45,AU,1735827671
85,bilibino,68.0546,166.4372,-17.08,94,100,1.38,RU,1735827672
86,flying fish cove,-10.4217,105.6791,25.82,88,75,2.57,CX,1735827674
87,college,64.8569,-147.8028,-33.84,70,0,0.0,US,1735827675
88,invercargill,-46.4,168.35,11.68,96,100,1.42,NZ,1735827676
89,pelabuhanratu,-6.9875,106.5514,26.46,85,100,1.35,ID,1735827678
90,ribas do rio pardo,-20.4431,-53.7592,34.32,36,11,3.0,BR,1735827680
91,labrador city,52.9463,-66.9114,-1.57,99,100,8.49,CA,1735827682
92,wailua homesteads,22.0669,-159.378,23.44,96,100,6.17,US,1735827683
93,ambovombe,-25.1667,46.0833,29.16,59,69,5.0,MG,1735827684
94,kalabo,-14.97,22.6814,22.68,76,95,5.48,ZM,1735827686
95,luanda,-8.8368,13.2343,30.0,62,75,2.57,AO,1735827359
96,spring creek,40.7266,-115.5859,3.23,78,100,3.02,US,1735827688
97,constitucion,-35.3333,-72.4167,21.81,40,0,3.43,CL,1735827690
98,marsabit,2.3284,37.9899,27.32,30,19,6.53,KE,1735827691
99,iqaluit,63.7506,-68.5145,-3.15,80,75,5.66,CA,1735827692
100,rongelap,11.1635,166.8941,27.03,73,42,6.74,MH,1735827694
101,badger,64.8,-147.5333,-33.86,73,0,0.0,US,1735827695
102,island harbour,50.724,-1.2758,5.52,82,5,3.13,GB,1735827696
103,udachny,66.4167,112.4,-38.35,100,45,1.63,RU,1735827698
104,ancud,-41.8697,-73.8203,14.49,60,12,2.38,CL,1735827699
105,barguzin,53.6167,109.6167,-16.56,98,93,0.81,RU,1735827700
106,port blair,11.6667,92.75,27.02,78,20,1.03,IN,1735827702
107,cove,7.221,2.3402,37.85,24,56,1.94,BJ,1735827703
108,papatowai,-46.5619,169.4708,10.5,95,100,2.82,NZ,1735827704
109,keminmaa,65.8596,24.8228,-17.13,92,0,2.57,FI,1735827706
110,maevatanana,-13.8831,48.5289,28.46,82,40,0.67,MG,1735827707
111,ilulissat,69.2167,-51.1,-0.99,93,100,5.66,GL,1735827708
112,san patricio,28.017,-97.5169,16.97,84,99,3.74,US,1735827710
113,lautoka,-17.6167,177.4667,24.92,100,100,2.06,FJ,1735827711
114,kununurra,-15.7667,128.7333,27.99,69,97,0.0,AU,1735827712
115,yellowknife,62.456,-114.3525,-35.25,75,0,2.06,CA,1735827714
116,aral,40.5156,81.2636,-4.81,64,100,1.28,CN,1735827715
117,souillac,-20.5167,57.5167,27.21,78,75,4.12,MU,1735827716
118,colonia,50.9333,6.95,4.69,88,100,3.6,DE,1735827601
119,georgetown,5.4112,100.3354,29.97,73,20,2.57,MY,1735827719
120,verkhnevilyuysk,63.4453,120.3167,-51.6,100,65,0.7,RU,1735827720
121,selfoss,63.9331,-20.9971,0.02,88,100,4.15,IS,1735827722
122,bintulu,3.1667,113.0333,24.23,94,20,2.06,MY,1735827723
123,vila velha,-20.3297,-40.2925,31.97,67,40,5.66,BR,1735827725
124,citra,34.7965,-96.3764,1.47,84,4,3.51,US,1735827726
125,anadyr,64.75,177.4833,-9.72,85,40,1.0,RU,1735827727
126,lebu,-37.6167,-73.65,16.16,63,0,8.05,CL,1735827728
127,dudinka,69.4058,86.1778,-11.2,88,100,8.44,RU,1735827556
128,niquelandia,-14.4739,-48.4597,20.45,97,100,1.59,BR,1735827731
129,siracusa,37.0881,15.2792,14.62,70,4,1.79,IT,1735827732
130,kamina,-8.7386,24.9906,23.06,80,100,1.85,CD,1735827734
131,kumeny,58.1089,49.9161,0.66,97,100,8.79,RU,1735827735
132,lihue,21.9789,-159.3672,23.77,78,100,6.17,US,1735827573
133,yonago,35.4333,133.3333,3.96,93,75,3.09,JP,1735827738
134,hawaiian paradise park,19.5933,-154.9731,19.94,79,47,2.62,US,1735827739
135,vorgashor,67.5833,63.95,-15.1,97,100,2.67,RU,1735827464
136,beyneu,45.3167,55.2,2.64,87,24,6.05,KZ,1735827743
137,pirallahi,40.4723,50.333,9.08,66,2,9.67,AZ,1735827744
138,funafuti,-8.5243,179.1942,27.0,89,75,1.03,TV,1735827576
139,port alfred,-33.5906,26.891,24.54,76,25,0.45,ZA,1735827747
140,palasa,18.7667,84.4167,19.07,75,100,1.73,IN,1735827748
141,puerto ayora,-0.7393,-90.3518,24.19,96,92,3.83,EC,1735827750
142,bani suwayf,29.0744,31.0979,20.69,22,0,3.78,EG,1735827751
143,mejit,10.2753,170.8646,27.36,74,43,7.76,MH,1735827752
144,havre,49.5833,0.3333,5.87,81,75,5.66,FR,1735827754
145,broken hill,-31.95,141.4333,21.34,17,0,4.66,AU,1735827755
146,djamaa,33.5339,5.9931,17.79,40,49,7.13,DZ,1735827756
147,xilin hot,43.9667,116.0333,-15.49,73,99,5.33,CN,1735827758
148,robore,-18.3333,-59.75,32.05,62,75,2.06,BO,1735827759
149,hadibu,12.65,54.0333,23.81,72,8,6.22,YE,1735827591
150,kokshetau,53.2775,69.3883,-11.53,86,100,6.09,KZ,1735827762
151,el nido,11.1858,119.3956,25.64,94,100,3.29,PH,1735827763
152,loningen,52.7333,7.7667,5.01,75,87,5.31,DE,1735827764
153,enewetak,11.3474,162.3373,27.65,70,20,7.65,MH,1735827765
154,tchibanga,-2.85,11.0333,26.97,84,96,1.23,GA,1735827767
155,anna regina,7.2644,-58.5077,26.81,88,76,3.1,GY,1735827768
156,vurnary,55.4904,46.9648,1.75,91,100,9.64,RU,1735827769
157,dublin,37.7021,-121.9358,9.06,81,0,0.0,US,1735827578
158,lata,40.1629,-8.3327,14.16,51,36,2.52,PT,1735827772
159,dahab,28.501,34.5134,20.89,28,0,4.48,EG,1735827773
160,roma,43.2128,-75.4557,0.38,93,100,3.6,US,1735827670
161,valley city,46.9233,-98.0032,-14.71,92,20,5.66,US,1735827776
162,coquimbo,-29.9533,-71.3436,17.85,82,100,4.63,CL,1735827777
163,mermoz boabab,14.7065,-17.4758,24.88,41,0,6.17,SN,1735827779
164,avarua,-21.2078,-159.775,25.03,83,95,2.57,CK,1735827780
165,itaituba,-4.2761,-55.9836,29.09,79,75,1.03,BR,1735827781
166,wotho,10.1657,166.0102,27.19,76,100,7.22,MH,1735827783
167,whitehorse,60.7161,-135.0538,-24.57,84,75,0.0,CA,1735827496
168,itoman,26.1247,127.6694,19.01,77,100,5.66,JP,1735827785
169,quellon,-43.1167,-73.6167,14.36,69,99,0.97,CL,1735827787
170,palmer,42.1584,-72.3287,3.07,50,75,11.83,US,1735827788
171,west island,-12.1568,96.8225,26.99,78,100,3.6,CC,1735827637
172,manay,7.215,126.5397,24.25,91,99,2.24,PH,1735827791
173,dalandzadgad,43.5708,104.425,-8.69,42,0,1.32,MN,1735827793
174,fort morgan,40.2503,-103.8,-3.64,100,75,0.0,US,1735827795
175,chulucanas,-5.0925,-80.1625,21.87,83,100,0.38,PE,1735827796
176,palpa,-14.5336,-75.1856,22.63,70,100,2.02,PE,1735827797
177,haiku-pauwela,20.9219,-156.3051,21.25,80,19,7.6,US,1735827799
